id,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,label
11,438.08493,1306.6934,184.77173,1304.6881,417.37756,1334.1892,196.49782,1330.2443,462.783,1418.7678,157.48036,1411.6937,245.96016,503.57285,418.12918,514.0662,190.48929,503.31058,468.32446,529.22363,193.08609,477.23486,473.06512,509.06024,215.04019,479.64905,449.77435,506.8956,441.97287,422.8238,227.69398,406.32217,1
12,443.01086,1288.0764,169.67175,1330.9546,416.3894,1316.6785,186.04698,1368.5691,478.2828,1408.4377,143.5143,1453.585,529.94037,744.42126,181.0304,604.7829,542.6042,790.5061,189.64359,616.89136,523.34045,778.8329,201.3868,584.7509,502.3014,764.5078,205.41353,576.8554,464.33313,437.20615,208.90382,427.03247,1
13,423.02188,1333.8442,175.03378,1316.0479,403.34055,1364.5472,193.87358,1355.1804,440.83707,1437.4695,147.45183,1421.6343,397.18637,307.69455,197.65439,762.481,379.00616,272.6029,180.62549,802.0005,378.42947,273.86874,195.2129,807.1921,379.4314,289.59286,212.43275,792.34814,457.63068,419.10114,250.75154,447.48532,1
14,445.66132,1311.5505,216.43375,1301.3185,433.76196,1339.9521,240.18517,1340.4736,442.21527,1409.1597,186.36314,1400.7261,378.9737,346.05975,214.59933,183.38791,359.43863,317.1204,217.36105,143.9109,359.96103,303.33957,230.74834,146.57921,367.35248,317.41272,235.77194,157.33948,465.11337,419.08524,274.9235,384.53076,1
15,464.20935,1331.3296,206.50717,1336.99,437.23706,1362.8818,230.70486,1377.7603,466.0602,1436.688,171.1107,1440.5535,444.46988,494.966,306.7277,413.06372,408.1999,466.15143,355.99734,398.36176,410.20685,445.3144,363.87637,394.5849,415.50092,461.66745,346.4483,410.80365,507.5133,428.49512,263.175,405.72382,1
16,424.12332,1312.1257,185.32187,1303.2742,404.86264,1343.0457,202.10391,1341.8109,442.77948,1414.0125,153.42587,1407.4066,385.22058,322.6709,201.47981,766.7999,356.75916,289.34402,179.57356,811.3933,366.0538,280.8169,196.65247,818.613,366.91516,295.78516,216.2954,802.1355,484.80017,398.06308,276.334,426.71432,1
17,401.7938,1352.2549,168.41953,1353.523,378.01746,1388.8599,190.8557,1393.2432,426.05865,1474.947,144.30504,1473.1997,605.9167,770.9594,233.47673,667.34485,635.4964,824.6817,258.10333,708.1898,621.3596,822.59314,277.55292,682.3837,595.86945,807.3408,273.02844,667.8834,464.47473,414.66876,199.61188,394.4958,1
18,421.295,1378.2683,182.64874,1366.5674,397.45944,1411.7502,200.36655,1402.3435,446.62204,1505.318,155.33618,1489.5525,480.18976,720.71484,210.64684,684.35547,472.0535,770.66296,224.99863,728.50354,440.47293,745.6799,252.12743,705.09064,431.34375,728.4635,255.0772,686.01404,476.7191,416.92715,210.80533,404.93042,2
19,430.12207,1334.9661,181.4896,1325.0703,408.7155,1368.1915,204.98782,1362.5804,448.11942,1440.6064,157.61798,1432.1692,498.0445,304.09546,221.39441,502.71124,473.71387,258.87515,266.00787,481.2704,448.37,252.72632,269.32516,457.5316,445.91623,279.42822,264.46136,472.47284,434.66214,415.44855,193.10371,438.3706,1
20,409.10474,1372.729,154.43481,1353.6436,383.64645,1411.4021,180.33888,1396.4319,433.49115,1485.7139,132.81323,1463.9927,566.6205,755.3783,60.226192,712.7085,598.7103,789.6177,31.66541,743.4186,594.6386,787.3449,41.461887,738.3638,572.5041,777.785,58.186855,727.9918,438.39386,460.92136,198.05782,440.18158,1
21,438.23862,1330.2942,192.59663,1350.1768,415.5306,1359.6836,210.09988,1386.5725,459.1441,1448.2501,161.24254,1468.7336,511.08792,725.17676,220.67719,713.6642,503.14944,775.6776,234.26613,759.1874,471.90515,748.7485,259.5336,734.99115,462.47223,733.23517,264.32794,715.22046,483.30524,422.61902,217.08212,427.3204,1
22,437.59793,1350.932,201.92734,1350.9983,415.8096,1374.5874,230.55069,1380.1748,451.5689,1475.8474,169.22119,1477.1644,341.7624,679.956,72.53189,734.4817,302.61014,711.3028,43.74331,783.08655,279.5897,683.71606,65.36754,784.4983,287.3861,669.48364,84.661804,767.28613,479.04266,417.7746,214.99579,405.41528,1
23,463.75513,1318.3923,196.26126,1332.1136,439.79437,1348.6602,210.70288,1359.249,493.2918,1433.4131,181.31299,1446.6287,255.20454,510.43085,422.88724,529.0901,200.39043,510.40897,470.41052,542.33594,200.39664,480.85974,476.17313,519.56915,223.50015,481.98288,453.62067,515.2961,444.45282,432.36176,224.3476,419.63147,1
24,459.4612,1327.7083,211.15251,1359.4475,435.14352,1365.2666,228.10973,1401.7548,490.95157,1438.7317,183.17297,1469.7264,517.89526,746.2817,175.28432,736.991,521.2577,796.88446,163.09479,789.71814,493.53604,783.2411,193.6447,777.9168,475.8071,766.517,208.59299,755.22156,477.58994,433.31415,228.08794,426.8363,1
25,437.47495,1322.4119,184.68625,1340.7513,415.0453,1357.1777,200.47943,1377.1886,460.4913,1430.7068,167.5725,1445.8145,503.7898,755.20166,291.85913,496.60397,515.5772,806.7106,319.90234,512.1325,492.5606,801.32117,332.50198,499.14832,475.10315,784.3263,320.54114,494.4906,447.00137,454.66125,238.726,416.6141,1
26,455.32935,1378.6681,170.06424,1396.4944,433.23465,1405.171,197.2706,1435.268,478.9348,1504.9001,134.55984,1528.139,435.96368,673.7188,103.83522,770.81104,421.41888,694.15173,75.49968,818.5431,407.96875,668.28296,93.73166,816.9414,401.3601,659.9246,116.09807,796.131,490.9531,407.9392,213.50504,403.94928,1
27,430.72424,1331.4963,193.57098,1326.1941,410.02142,1364.7041,216.85428,1365.6301,447.87006,1438.8995,165.61633,1435.271,559.3211,260.266,240.11667,473.18832,546.0271,211.27556,286.12796,448.3748,516.1006,207.60776,293.19946,424.5277,510.5203,235.78697,288.97256,440.45477,449.77222,411.7226,209.37448,434.21277,1
28,441.59387,1308.1726,203.82703,1345.3282,420.05426,1334.2542,221.92822,1372.6947,475.62527,1420.2806,194.56569,1457.1921,425.16516,538.71484,281.3653,378.436,420.0626,500.63782,295.10052,343.26398,436.50458,466.8145,285.56216,335.9201,419.15042,480.53235,288.71487,345.23712,385.42603,471.03436,169.79158,446.0846,1
29,446.80933,1298.8019,208.16393,1326.4836,425.63568,1324.3345,222.9958,1349.5369,475.59982,1412.6764,191.5229,1441.2942,244.93886,505.6122,401.96902,517.1014,184.95007,505.46936,454.68326,532.9958,186.9864,479.39362,461.44028,512.1194,210.90128,482.0181,438.2831,510.28406,450.14728,418.94617,231.85706,405.50092,1
30,451.03268,1330.4397,184.08432,1353.6805,429.65967,1362.494,203.83746,1398.4236,460.67575,1435.8486,158.21893,1461.4133,469.7046,533.25305,130.38496,218.27454,441.5013,513.5208,148.46722,170.18898,436.28793,472.40326,169.7711,175.99805,430.0602,484.34344,169.01248,199.42757,482.05725,428.29047,238.89777,392.80878,1
31,432.34265,1299.4797,200.77626,1328.6622,410.20923,1334.675,219.69615,1368.4839,462.25885,1404.7235,176.98404,1433.1313,496.63272,760.45764,153.3689,759.2148,504.6854,810.2471,136.8837,808.73505,477.81418,802.7562,158.47157,806.4676,457.84427,785.7944,175.74527,786.55365,455.86188,439.57007,216.6607,433.12134,1
32,426.31592,1297.8022,185.05751,1328.8746,403.46063,1326.8164,205.4819,1364.8154,447.29813,1406.991,159.72539,1437.2966,442.19727,425.4468,273.03952,421.83258,402.50876,394.30243,320.86456,406.2622,386.1051,387.5546,325.45627,405.42578,392.3565,406.89417,308.66086,421.33533,452.13602,448.37952,223.94688,426.85092,3
33,423.65222,1370.9027,162.57123,1377.0425,402.2088,1400.9069,183.90204,1414.1335,449.65173,1492.2565,131.50145,1496.4991,465.71027,736.9348,192.31316,633.94116,460.69507,786.595,212.8821,657.92065,430.09375,762.24457,227.11143,623.92224,417.29425,744.10675,227.05565,612.28503,460.32544,427.6282,185.43163,417.4783,1
34,423.98563,1334.8412,174.94177,1342.9036,403.6073,1371.9636,194.46663,1388.4545,437.8917,1444.7632,153.82896,1451.4717,595.50073,408.99615,97.1565,325.54218,614.9946,386.58536,87.10062,294.70465,595.83655,370.3772,103.58161,287.36432,584.4205,382.88528,111.61256,299.92645,426.1993,431.24432,221.46194,416.17883,1
35,451.80365,1321.8345,199.41237,1342.5115,427.52417,1357.6763,215.75943,1383.2478,486.04956,1424.9661,178.54965,1445.7168,500.2282,761.1743,169.67067,777.84515,508.56378,810.895,153.75851,829.2361,479.82178,803.4272,176.18675,825.49896,460.3733,786.43665,193.80998,803.81274,465.63885,433.5006,228.35062,437.51074,1
36,444.10385,1305.8717,188.06424,1341.642,421.35724,1339.0607,209.88922,1388.1084,453.01947,1420.7568,161.35974,1456.1011,555.48926,395.98477,172.4014,421.69592,562.2132,340.48856,177.53482,377.14062,559.981,313.72394,178.88062,354.21143,538.70123,339.1131,192.74542,370.62045,467.17978,415.07812,224.02698,413.46848,1
37,419.64005,1337.6476,161.12068,1354.1116,394.09525,1369.4944,175.51384,1391.2058,450.87997,1446.308,149.49844,1466.6929,622.1869,267.05872,179.69398,152.80988,651.3849,231.44073,178.09003,105.20447,627.04333,216.35785,200.47124,104.58496,609.1799,235.67365,209.69693,121.98547,429.29718,450.2409,223.27817,421.93536,1
38,432.17554,1324.7715,191.4511,1332.2362,409.4412,1361.4897,208.86162,1370.1598,465.0672,1433.239,171.12581,1438.6602,491.79297,772.37915,140.41512,753.35443,501.74173,823.271,123.766136,801.58453,477.88116,816.7834,142.84105,797.9141,456.87466,799.8436,158.877,779.01196,452.1431,434.34167,212.9509,423.7444,1
39,435.86923,1331.2281,197.07039,1349.4594,415.68958,1366.0211,216.40929,1387.5996,461.3581,1443.8167,165.68552,1461.1145,470.70627,751.4218,163.88213,738.5387,469.19754,797.91614,153.49635,787.85754,444.00156,781.22565,178.43169,774.8626,430.18478,764.5436,192.32147,753.2864,462.8372,435.07782,214.7168,425.53235,1
40,438.24908,1315.6642,188.40656,1315.9178,415.48645,1351.1415,206.60408,1353.2717,460.5067,1423.0239,158.26529,1420.1047,499.8399,784.9554,291.5035,542.18646,515.2163,842.2174,314.03964,566.91943,494.92,836.17944,326.6636,549.53265,474.40286,816.235,318.34384,540.49036,447.20236,437.8441,226.83824,399.02988,1
41,433.00034,1298.9998,187.72969,1341.7726,410.73972,1331.7823,205.35902,1380.0486,464.14618,1406.1981,163.14474,1451.2185,466.0762,757.7589,214.53484,736.737,465.20932,808.971,216.68842,787.80646,436.4137,793.86304,246.12645,773.05536,422.42038,774.5028,255.82442,749.6135,459.64865,446.27597,218.01015,436.22626,1
42,441.57126,1308.1882,210.59567,1296.5552,421.33765,1334.877,224.1532,1319.7622,462.71643,1421.4513,182.82004,1404.306,249.81142,519.82916,423.59512,526.39984,191.96254,525.59485,471.5213,540.8775,190.51288,497.66757,475.51956,519.01416,213.85776,497.12997,453.81467,516.5508,441.64996,426.95618,229.25502,420.13046,1
43,415.36172,1332.7935,199.9087,1306.8279,396.2831,1362.3383,221.75746,1341.8715,421.9726,1446.1407,157.1898,1415.6866,501.14413,656.9271,209.95392,731.57355,497.2637,676.0955,210.81793,776.15045,487.372,653.2779,228.9922,762.625,478.78156,647.5361,237.82506,743.0133,458.10767,435.3637,213.56894,440.0592,1
44,433.89648,1305.8531,181.30084,1304.241,411.68106,1345.4524,200.59001,1344.7023,464.19772,1410.3696,158.13042,1405.5154,503.45526,754.0017,115.59638,740.5952,517.64813,806.3465,96.51933,791.82263,492.73383,802.58813,117.06754,789.21625,471.70074,785.3198,133.63376,769.61206,436.38943,415.07745,194.41887,408.86627,1
45,419.95935,1324.1543,179.12254,1345.3033,394.85263,1359.7549,198.06444,1386.0977,447.33023,1431.5552,153.86424,1454.2725,493.4281,739.25085,165.3434,730.2711,492.32416,788.9149,155.62169,783.6378,462.4237,772.7247,186.94875,774.4695,447.5814,754.44366,202.57986,752.0108,479.59424,431.33453,233.07379,418.8247,1
46,417.7543,1313.4238,186.1662,1336.2605,392.0185,1346.8357,202.92947,1375.2747,436.36066,1421.0366,158.70848,1441.7112,502.9783,722.2356,161.79346,678.67883,492.36972,763.48145,162.19914,723.95197,467.1506,743.09595,191.46518,709.73267,459.35254,730.10815,199.24998,693.05444,488.67322,437.28928,239.11058,419.78107,1
47,425.70596,1341.4238,153.71002,1327.959,404.0465,1375.8528,173.00513,1363.967,448.6209,1460.154,117.38525,1438.7207,439.4662,701.6165,187.1394,654.8294,417.7138,742.209,207.96432,694.6027,392.8754,706.30133,232.83705,665.7777,391.8179,692.6008,232.94698,649.5551,452.58612,417.7718,180.18198,394.44678,1
48,411.34082,1299.2002,177.06718,1279.3682,393.0553,1332.2393,200.19334,1312.2986,429.74292,1408.5269,144.36009,1389.2189,469.32266,313.50528,238.51572,511.1905,448.0266,276.22992,290.06964,498.47702,422.87442,263.66364,288.9201,466.0985,422.59528,285.04468,277.90442,477.1701,395.0228,388.88904,155.40181,422.87305,1
49,411.38425,1330.3339,167.34018,1319.5654,390.97012,1366.9226,187.7788,1365.4287,422.8791,1452.0242,145.25012,1434.7352,527.3222,407.43863,140.5339,395.39594,536.036,357.23758,151.61374,348.79337,531.69196,327.63303,158.69807,325.4338,510.76065,350.52414,170.61726,343.61932,435.5774,419.64807,193.40855,406.06247,1
50,419.7776,1313.5935,161.40227,1324.9464,398.50928,1349.9072,174.8743,1369.8606,437.46957,1414.7968,141.2897,1424.9844,588.2129,395.43597,106.79518,359.6283,611.5712,374.7198,109.29765,348.04303,596.063,364.37134,131.27502,349.7855,584.3738,377.61032,128.21349,359.5851,426.31454,435.62952,226.42827,417.6399,1
51,444.05832,1309.9619,216.19246,1282.4075,436.33145,1339.5477,239.86531,1321.7982,431.44516,1404.8744,180.93959,1376.9752,361.00317,387.01672,216.26256,183.07315,331.24384,375.21472,218.73538,143.84369,321.83643,359.12463,229.67485,148.73032,334.66797,367.73352,231.85646,158.99864,477.00217,417.73373,304.60895,391.65756,1
52,447.23907,1372.9001,178.97818,1371.1981,424.21182,1403.1195,209.39984,1410.2949,458.94983,1488.0822,142.06586,1494.5958,440.38654,539.05444,128.69289,768.95044,394.39108,528.2592,102.3022,818.48566,386.9365,489.69427,121.627174,821.65106,391.14297,496.4837,145.04922,803.35815,492.5704,412.35388,223.5658,409.08572,1
53,431.35925,1294.4299,166.09232,1329.2775,406.41553,1327.9226,176.57452,1362.8372,481.93484,1399.6938,170.95465,1437.2424,444.29855,798.2716,261.59344,245.52994,463.0818,844.9299,286.71747,214.95312,453.12518,845.24164,282.88095,216.85391,429.80112,829.2374,281.27856,230.67116,382.74634,474.52698,176.02452,404.04468,1
54,413.04623,1336.4993,139.2681,1340.3704,392.76343,1374.1393,157.89792,1382.8152,438.65198,1442.3901,113.78512,1442.3989,423.50327,652.77716,188.04349,497.3022,405.6278,674.7058,230.19482,481.52298,389.38544,644.1281,235.10489,457.73923,385.61746,639.6768,226.86166,466.03693,433.58963,424.5435,187.80432,410.95416,1
55,410.6081,1326.2705,177.38763,1324.2091,389.4658,1356.2958,197.10541,1358.3282,423.9273,1434.1107,146.45963,1427.9277,339.11496,442.2149,299.5414,441.57773,294.6538,404.38818,342.24612,407.2145,302.23254,387.6056,329.34464,384.44992,311.8972,403.44977,321.35632,403.062,451.10318,420.48203,209.06491,419.19556,1
56,438.94775,1326.6547,191.82355,1322.9468,412.0879,1360.1329,213.7118,1366.551,448.43976,1436.9545,163.06625,1430.9646,621.69415,297.48022,109.082436,253.9656,647.2097,270.07886,90.39031,217.43594,624.87866,259.6628,108.82492,209.83807,612.84235,275.96698,120.799675,222.84161,457.9239,441.8733,250.81195,436.583,1
57,455.56787,1392.8363,199.23845,1390.9922,433.42407,1417.9628,231.01328,1425.9595,470.44595,1517.9092,167.05154,1522.4546,398.7528,677.2848,98.23011,785.7909,375.9939,700.04034,63.457268,832.7597,358.66483,673.3212,80.6631,836.9605,358.00955,663.86475,104.865,817.79065,481.4033,436.0704,218.22148,435.85873,1
58,429.90707,1279.0636,197.29872,1336.7361,400.70245,1314.1449,198.6916,1371.353,509.7131,1373.85,217.73953,1443.367,441.26248,777.575,146.18724,784.6117,451.94012,821.8955,135.22044,839.2859,441.94638,821.7738,161.88097,830.9276,423.45923,805.4327,177.01231,807.1766,414.86572,435.82703,181.01581,427.3861,1
59,431.17175,1320.827,190.85141,1328.653,407.2918,1350.7329,209.07089,1356.124,451.16403,1440.5935,171.84795,1443.2239,323.27304,519.3834,327.07657,496.4276,272.15512,517.8972,382.68146,509.1133,265.43253,489.19305,392.62897,482.16864,282.94092,493.56522,369.26273,483.63693,456.6968,426.9006,221.25333,408.24554,1
60,429.7377,1336.488,184.80867,1361.6481,406.9936,1372.0985,205.81956,1400.6038,459.86893,1455.605,163.33081,1480.3204,589.6826,747.0209,209.28157,646.5491,620.354,795.46234,229.2926,688.2169,607.89594,792.6138,254.08699,663.29156,581.6268,777.93335,250.99992,647.76526,448.12592,433.59583,195.22627,402.38782,1
61,456.2248,1308.214,209.4938,1323.1257,433.17853,1336.7064,226.23412,1354.321,487.07123,1416.4795,193.49358,1426.6812,486.0543,460.70465,308.1413,297.15936,473.7911,422.83646,325.2797,260.19376,475.08292,388.12668,319.2683,257.89862,460.09885,402.22192,323.44968,270.68048,412.20364,441.7207,196.22856,407.25488,1
62,433.4394,1331.3832,194.29218,1348.324,407.72208,1362.1926,208.83109,1384.2255,462.34158,1444.4257,168.76631,1460.4446,498.30627,748.629,231.54442,699.3187,492.28546,793.814,236.6362,746.4484,468.1128,775.60846,266.77838,726.3717,455.83932,758.1404,273.42227,706.17065,513.5991,445.5574,267.41275,417.95282,1
63,434.1123,1376.6974,153.07733,1369.3713,414.49368,1411.5826,176.05548,1408.1305,459.627,1494.9213,113.11069,1483.7068,384.68314,606.79614,139.61699,704.7776,345.77112,617.03174,134.23257,748.7601,334.27484,579.77313,157.81125,735.8429,338.69992,575.42645,169.71002,717.48315,447.09793,423.82922,181.75818,410.8377,2
64,413.28677,1363.949,138.33585,1354.1663,388.4994,1397.169,160.15999,1392.6084,437.06992,1484.8738,122.370346,1474.0857,394.86954,465.2506,220.74744,282.59515,365.0985,424.11014,275.81317,260.1374,370.26633,404.20258,288.44666,270.06985,370.95703,424.91458,265.67462,287.69058,442.47247,441.0833,201.34294,380.36908,1
65,357.3031,1389.248,157.69043,1393.2623,327.1468,1425.351,178.34314,1435.6089,372.47537,1525.9991,120.596924,1523.6066,611.4248,773.95966,123.4285,680.7364,637.6946,835.0315,110.79404,744.59766,625.3625,831.7051,147.26736,730.68964,596.3474,810.85016,163.23604,706.22797,492.55463,375.58038,197.99559,327.20685,3
66,383.92206,1359.6511,135.87839,1333.5793,364.72348,1395.027,156.2621,1371.095,409.79715,1466.0316,119.4264,1439.0298,577.7055,230.66338,114.702995,155.78934,607.55194,193.49571,97.494316,111.497955,584.70056,178.76782,121.2435,100.59303,570.6628,192.86594,133.76152,114.098816,416.02908,454.2963,236.90823,421.9873,3
67,430.5464,1333.4463,180.99052,1326.8691,408.5226,1367.3999,200.67284,1372.1503,434.92023,1435.5173,153.45444,1427.665,454.43137,508.10013,185.96605,229.39603,422.36188,482.85004,207.3945,189.02911,420.95352,446.9554,226.91231,198.58017,419.97882,460.1602,223.25287,219.67972,494.81796,428.04718,262.44153,381.75043,3
68,450.44165,1291.9373,189.03317,1335.2144,427.02737,1319.2534,201.94644,1361.6394,484.7134,1405.0498,171.93834,1450.1239,244.6204,511.68152,412.99014,516.7106,187.09958,513.492,462.044,530.384,186.04227,485.14856,467.51187,508.00784,209.46005,485.92657,444.72952,505.19342,438.82086,420.23157,218.34108,408.5329,3
69,444.20145,1320.6628,184.24162,1350.3363,419.63525,1353.2827,198.86241,1386.6653,471.82596,1432.0103,166.5842,1462.7698,419.61194,529.88855,326.51947,535.3221,384.22952,520.7196,368.71704,528.22253,381.098,485.77286,363.61432,497.77124,388.4003,491.22052,350.4993,502.55078,468.82315,414.03714,229.04301,412.22937,3
70,437.23407,1294.1042,188.36836,1325.0173,415.4497,1328.3013,205.44185,1365.6135,461.06473,1397.7561,165.6085,1425.9084,480.19754,686.42737,193.70384,592.32855,464.84286,723.0647,215.13528,609.50085,441.26315,690.3399,231.76865,574.5496,439.47015,679.0792,230.00685,567.3932,464.03195,436.32492,222.34315,424.97452,2
71,421.669,1330.7537,159.87161,1341.9098,396.70398,1366.3066,180.08742,1382.2059,455.53635,1447.095,128.55394,1455.27,495.11243,764.82117,124.248985,755.1435,500.00256,816.68665,109.10237,807.1199,473.7914,807.2393,132.59549,801.78656,455.83582,790.0656,149.64503,780.7211,458.30524,421.55215,195.98708,414.86603,3
72,417.08612,1301.7029,173.52658,1295.252,398.77213,1335.9714,199.47395,1336.2954,427.22986,1405.0854,140.44362,1399.137,410.51535,463.46036,117.741745,749.015,394.88278,454.75793,92.149414,798.00476,382.37848,444.1185,113.45377,803.60254,382.41135,451.04538,131.5866,786.8638,427.4887,415.25745,213.59653,421.6723,3
73,452.78674,1297.6157,198.61877,1311.0715,429.41373,1325.8173,207.86128,1336.4113,486.55014,1405.1887,183.58154,1417.8472,269.53995,505.8771,434.7537,520.0864,213.11923,504.95624,479.67365,532.8525,213.49744,479.90686,481.69904,516.07526,235.59706,482.65082,460.68927,514.5423,445.54797,425.65717,234.62466,416.22116,3
74,412.92578,1309.9282,171.3396,1282.0791,394.5448,1344.3358,193.98332,1317.9119,429.47775,1418.176,136.7239,1390.1499,510.08716,260.33972,235.84196,511.3305,502.76535,211.60556,286.166,499.75928,475.28873,202.21436,288.96738,465.37024,468.84515,228.02383,279.18686,475.46735,390.3772,390.55658,156.91266,424.52316,3
75,420.0702,1351.4948,184.95715,1305.4237,398.245,1386.5497,207.66168,1346.1777,435.4573,1459.979,150.50072,1407.4165,615.9576,747.29706,152.74643,760.7466,646.59717,790.4388,145.22958,804.7128,635.7813,789.8431,159.22365,794.41656,611.702,777.7501,172.57458,777.8756,468.7801,433.66327,214.93686,441.97647,3
76,450.67334,1382.5507,150.0005,1373.7048,430.11267,1422.2174,166.45688,1416.4023,484.95773,1501.9761,120.6088,1486.5369,464.38766,710.37,170.47124,638.4564,459.28226,752.56287,179.78531,658.03784,433.71216,727.6373,193.32358,626.9097,422.42,713.0935,197.33722,615.48334,451.9551,421.63437,191.59001,417.49927,2
77,450.40112,1299.026,197.72165,1321.4318,427.26147,1328.7065,216.97212,1352.9467,475.23044,1409.22,169.84157,1428.7803,319.001,466.38596,428.52878,433.38293,289.80615,453.7542,478.4402,435.56503,301.19522,425.98608,479.58154,411.50592,309.6518,431.87708,455.306,412.6752,416.73965,432.79138,230.25067,416.4134,3
78,410.85864,1332.9089,180.01314,1319.5344,393.78033,1368.3408,200.8073,1362.8896,413.12735,1441.8011,150.26704,1425.9385,526.55334,411.22086,164.42061,411.3388,535.01556,357.9799,176.17245,367.2777,535.8033,330.78015,178.38394,341.6211,515.3362,353.18362,189.81479,358.13123,440.92212,426.65027,207.99374,415.22687,3
79,429.6215,1293.5143,189.30551,1307.0449,409.9347,1322.1259,205.74185,1344.796,435.59174,1388.0225,161.28061,1402.063,423.89597,509.02432,293.87515,431.8152,386.7346,482.3194,342.0417,422.26587,392.18854,454.4433,347.588,411.67462,397.8173,466.38965,332.37073,423.1215,486.67694,429.99057,255.99591,402.46765,1
